"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "JSON", "PowerShell", "TypeScript JSX", "Markdown", "Ignore", "PostCSS", "comment", "blank", "total"
"/Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/app/s/[id]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 81, 0, 0, 0, 4, 12, 97
"/Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/app/watchlist/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 64, 0, 0, 0, 1, 7, 72
"/Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/components/ActionsCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"/Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/components/GeneratePlaceholders.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 71, 0, 0, 0, 2, 10, 83
"/Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/components/MenuCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 2, 36
"/Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/components/Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 61, 0, 0, 0, 9, 5, 75
"/Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/components/RawLeafletMap.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 290, 0, 0, 0, 8, 16, 314
"/Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/components/ResultsMap.old.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 7, 70
"/Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/components/ResultsTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 208, 0, 0, 0, 15, 27, 250
"/Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/components/ResultsView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 108, 0, 0, 0, 3, 16, 127
"/Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/components/SearchForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 108, 0, 0, 0, 1, 17, 126
"/Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/components/WatchlistItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 151, 0, 0, 0, 5, 10, 166
"/Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/docs/buildlog'.md", "Markdown", 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 51, 201
"/Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/lib/external/google.ts", "TypeScript", 0, 80, 0, 0, 0, 0, 0, 0, 0, 6, 12, 98
"/Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/lib/external/yelp.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 5, 46
"/Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/lib/geo.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 1, 11
"/Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/lib/normalize.ts", "TypeScript", 0, 100, 0, 0, 0, 0, 0, 0, 0, 6, 11, 117
"/Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/lib/supabase.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"/Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/lib/supabase/server.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 2, 3, 25
"/Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/lib/supabaseClient.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 3, 7
"/Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/lib/validators.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 4, 5, 19
"/Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/middleware.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 2, 5, 37
"/Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/next-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 6
"/Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/next.config.mjs", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 1, 6
"/Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/package-lock.json", "JSON", 0, 0, 0, 7811, 0, 0, 0, 0, 0, 0, 1, 7812
"/Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/package.json", "JSON", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 1, 42
"/Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/scripts/make-build-log.ps1", "PowerShell", 0, 0, 0, 0, 187, 0, 0, 0, 0, 14, 28, 229
"/Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/tailwind.config.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/tsconfig.json", "JSON with Comments", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42
"/Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/tsconfig.tsbuildinfo", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/utils/supabase/client.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/utils/supabase/middleware.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 2, 4, 32
"/Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/utils/supabase/route.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 10, 3, 33
"/Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/utils/supabase/server.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 3, 26
"Total", "-", 41, 1245, 10, 7859, 187, 2105, 170, 4, 62, 284, 582, 12549
